table,field,type,primary_key,nullable,default_value
"brain_objects","object_id","TEXT","true","false",""
"brain_objects","object_type","TEXT","false","false",""
"brain_objects","name","TEXT","false","false",""
"brain_objects","payload_json","TEXT","false","true",""
"brain_objects","created_at","DATETIME","false","false","CURRENT_TIMESTAMP"
"memory_records","memory_id","TEXT","true","false",""
"memory_records","content","TEXT","false","false",""
"memory_records","importance","REAL","false","false","0.0"
"memory_records","category","TEXT","false","true",""
"memory_records","timestamp","DATETIME","false","false","CURRENT_TIMESTAMP"
"conversation_turns","turn_id","TEXT","true","false",""
"conversation_turns","speaker","TEXT","false","false",""
"conversation_turns","message","TEXT","false","false",""
"conversation_turns","response","TEXT","false","true",""
"conversation_turns","confidence","REAL","false","false","0.0"
"conversation_turns","context","TEXT","false","true",""
"personality_profiles","profile_id","TEXT","true","false",""
"personality_profiles","framework","TEXT","false","false",""
"personality_profiles","type_code","TEXT","false","false",""
"personality_profiles","traits_json","TEXT","false","false",""
"personality_profiles","response_style","TEXT","false","true",""
"lua_scripts","script_id","TEXT","true","false",""
"lua_scripts","name","TEXT","false","false",""
"lua_scripts","entry_point","TEXT","false","false",""
"lua_scripts","script_path","TEXT","false","false",""
"lua_scripts","enabled","INTEGER","false","false","1"
"audio_assets","asset_id","TEXT","true","false",""
"audio_assets","voice_profile","TEXT","false","false",""
"audio_assets","file_path","TEXT","false","false",""
"audio_assets","sample_rate","INTEGER","false","false","44100"
"audio_assets","duration_ms","INTEGER","false","false","0"
"safety_audit_log","audit_id","TEXT","true","false",""
"safety_audit_log","event_type","TEXT","false","false",""
"safety_audit_log","decision","TEXT","false","false",""
"safety_audit_log","reasoning","TEXT","false","true",""
"safety_audit_log","created_at","DATETIME","false","false","CURRENT_TIMESTAMP"
